listing_id;facade_image;external_facing;postal_code;construction_year;price
https://duproprio.com/fr/lanaudiere/mascouche/condo-a-vendre/hab-204-2615-avenue-de-la-gare-765490;['facade-condo-a-vendre-mascouche-quebec-province-1600-7885171.jpg', 'balcon-condo-a-vendre-mascouche-quebec-province-1600-7885167.jpg', 'vue-d-ensemble-condo-a-vendre-mascouche-quebec-province-1600-7885175.jpg'];None;J7K 0M6;2011;147000
https://duproprio.com/fr/montreal/villeray-st-michel-parc-extension/condo-a-vendre/hab-101-7615-rue-de-lanaudiere-764399;['vue-d-ensemble-condo-a-vendre-villeray-st-michel-parc-extension-quebec-province-1600-7858108.jpg', 'vue-d-ensemble-condo-a-vendre-villeray-st-michel-parc-extension-quebec-province-1600-7858054.jpg', 'balcon-arriere-condo-a-vendre-villeray-st-michel-parc-extension-quebec-province-1600-7858073.jpg', 'balcon-avant-condo-a-vendre-villeray-st-michel-parc-extension-quebec-province-1600-7860609.jpg'];['Brique'];H2E 1Y5;2013;369000
https://duproprio.com/fr/bas-saint-laurent/riviere-du-loup/bungalow-a-vendre/hab-41-rue-louis-vincent-dumais-764592;[];['Clin de vinyle'];G5R 5H8;1996;209500
https://duproprio.com/fr/quebec-rive-nord/beauport/bungalow-a-vendre/hab-208-avenue-saint-michel-765573;['facade-en-ete-maison-a-vendre-beauport-quebec-province-1600-7884582.jpg', 'cour-arriere-maison-a-vendre-beauport-quebec-province-1600-7884639.jpg'];['Brique'];G1C 1G2;1975;259000
https://duproprio.com/fr/bas-saint-laurent/mont-joli/bungalow-a-vendre/hab-1801-rue-desjardins-738519;['balcon-avant-maison-a-vendre-mont-joli-quebec-province-1600-7609129.jpg', 'facade-maison-a-vendre-mont-joli-quebec-province-1600-7796719.jpg', 'facade-maison-a-vendre-mont-joli-quebec-province-1600-7815437.jpg', 'balcon-arriere-maison-a-vendre-mont-joli-quebec-province-1600-7609127.jpg'];['Brique'];G5H 3E3;None;149900
https://duproprio.com/fr/quebec-rive-sud/st-romuald/condo-a-vendre/hab-365-rue-des-rainettes-764720;[];['Brique', 'Pierre'];G6W 0A8;2009;204000
https://duproprio.com/fr/monteregie-rive-sud-montreal/candiac/maison-a-vendre/hab-54-rue-de-charente-765347;[];None;J5R 6P8;2004;454500
https://duproprio.com/fr/quebec-rive-nord/vanier/condo-a-vendre/hab-510-600-rue-bourdages-764630;['balcon-condo-a-vendre-vanier-quebec-province-1600-7882243.jpg', 'vue-d-ensemble-condo-a-vendre-vanier-quebec-province-1600-7886393.jpg', 'balcon-condo-a-vendre-vanier-quebec-province-1600-7882242.jpg'];['Aluminium', 'Brique'];G1M 3X3;2011;424500
https://duproprio.com/fr/saguenay-lac-saint-jean/st-felicien/bungalow-a-vendre/hab-1565-1565-rue-notre-dame-765436;['facade-en-ete-maison-a-vendre-st-felicien-quebec-province-1600-7880951.jpg', 'balcon-arriere-maison-a-vendre-st-felicien-quebec-province-1600-7880928.jpg', 'balcon-arriere-maison-a-vendre-st-felicien-quebec-province-1600-7880929.jpg', 'cour-arriere-maison-a-vendre-st-felicien-quebec-province-1600-7880927.jpg'];['Brique'];G8K 1X2;1981;169500
https://duproprio.com/fr/saguenay-lac-saint-jean/st-honore-de-chicoutimi/bungalow-a-vendre/hab-491-rue-duperre-764704;['cour-arriere-maison-a-vendre-st-honore-de-chicoutimi-quebec-province-1600-7865602.jpg'];None;G0V 1L0;2012;329000
https://duproprio.com/fr/saguenay-lac-saint-jean/st-honore-de-chicoutimi/bungalow-a-vendre/hab-491-rue-duperre-764704;['cour-arriere-maison-a-vendre-st-honore-de-chicoutimi-quebec-province-1600-7865602.jpg']; ;G0V 1L0;2012;329000
https://duproprio.com/fr/monteregie-rive-sud-montreal/mont-st-hilaire/maison-a-vendre/hab-635-rue-longueuil-762306;['facade-maison-a-vendre-mont-st-hilaire-quebec-province-1600-7886063.jpg', 'cour-arriere-maison-a-vendre-mont-st-hilaire-quebec-province-1600-7779561.jpg', 'facade-maison-a-vendre-mont-st-hilaire-quebec-province-1600-7886022.jpg', 'cour-arriere-maison-a-vendre-mont-st-hilaire-quebec-province-1600-7779563.jpg'];['Brique', 'Canexel'];J3H 2N5;1989;599900
